Product Name,brand,details,Price,Old Price,image URL,is_from_official_store,items_left
STY Women Plaid Shoulder Bag Ladies Fabric Bags Beige Bag Canvas Handbags,,,KSh 699,"KSh 1,299","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,100 items left
"HP EliteBook 840 G6-8th Gen -Core I5, 16GB RAM, 256GB-SSD-Refurbished-14""- Silver-Win  (6 Months WRTY)",,,"KSh 29,999","KSh 36,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,31 items left
Jacob's Creek Jacob's Creek Sparkling Rose - 750ml,,,"KSh 1,614","KSh 1,921","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,32 items left
VERSMAN Versman Dapper 50ml Roll On,,,KSh 288,KSh 360,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,24 items left
TCL V6B 43-Inch 4K HDR TV - Black,,,"KSh 29,399","KSh 36,264","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,23 items left
Men's Sports Casual Oxford Cloth Crossbody Bag Shoulder Bag Gray,,,KSh 488,KSh 756,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,97 items left
Valon Valon Petroleum Jelly Perfumed 240ml,,,KSh 123,KSh 304,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,10 items left
Women PU Leather Handbags Big Capacity Tote Bags Shoulder Bag Shopper Bags,,,KSh 599,KSh 826,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,12 items left
Rashnik RN-1446 2layer Blue 1000ml Lunch Box.,,,KSh 525,KSh 650,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,17 items left
Soko Maize Meal – 10Kg,,,KSh 779,KSh 825,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,40 items left
Nice & Lovely Olive Heat Protect Hair Food 300ml,,,KSh 262,KSh 430,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,15 items left
"Samsung GALAXY A16, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU",,,"KSh 17,699","KSh 35,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,99 items left
Hisense REF094DR - 94 Liters Fridge - Silver  (2YRs WRTY),,,"KSh 18,299","KSh 23,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,67 items left
"Starlink Standard Kit: High-Speed, Low-Latency Internet with Gen 3 Router, Wi-Fi 6",,,"KSh 39,999","KSh 69,999","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,100 items left
Exe Exe Chapati 2Kg,,,KSh 176,KSh 185,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,19 items left
Stereo Inductivv Bone Conduction Earphones Wireless Earbuds Bluetooth Sports Headphones,,,KSh 319,KSh 961,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,73 items left
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz",,,KSh 781,"KSh 1,250","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,98 items left
Sosoft Fabric Softener Baby - 750ml,,,KSh 243,NaN,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",True,21 items left
"Luminous Wolf Necklace, Gothic Wolf Pendant, Night Fluorescence",,,KSh 340,KSh 650,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",False,19 items left
